seed,avg_usi,min_usi,max_usi,final_usi,avg_gini,final_gini,avg_trust,final_trust,avg_S_R,avg_S_I,avg_S_O,time_to_collapse,completed_steps
42,0.5651091835786917,0.5529827661633676,0.584236989385743,0.5648562782950544,0.45622618465820897,0.45593106458420096,0.6827545188162647,0.6814896712341674,0.03392334526335373,0.543773815341791,0.9999850548933573,,50
43,0.5253335544914309,0.5214099969832824,0.528575280499382,0.5253139779154989,0.5458180030276124,0.5455978875815919,0.622516337928388,0.6221505308770809,0.024636819225621002,0.45418199697238754,0.9999990638393272,,50
44,0.5099182292354985,0.4978380915248053,0.5107234311695781,0.5101601527982378,0.5949500800560982,0.5941596381454135,0.6191275255057861,0.6191868313059752,0.015498064688819,0.4050499199439018,0.9999974068034868,,50
45,0.540968890395557,0.5351862724086858,0.5448836696503285,0.5409573725299304,0.5296393701098113,0.5291657607680371,0.6779529144293771,0.6775154280060208,0.015563940085343779,0.47036062989018856,0.9999980771773181,,50
46,0.5466936206982271,0.5377161138560326,0.5488701540250989,0.5469137332222018,0.5043397445577695,0.5033356796258335,0.659429919801281,0.6591413357026762,0.03168564745203449,0.4956602554422305,0.9999986600973623,,50
47,0.5286341892860048,0.5250974683141035,0.5320207667643251,0.5286098070291483,0.5242425436162006,0.5240695716909132,0.6175684922124409,0.6173056015637921,0.02121161978918304,0.47575745638379935,0.999999188758596,,50
48,0.5596174581039386,0.5530105823490636,0.5633726568280868,0.5596396304353157,0.4695206800887629,0.46893622556016035,0.6644620831589565,0.6638272807225686,0.04353036607187418,0.5304793199112371,0.9999980632736861,,50
49,0.5395790538601415,0.529981691461404,0.560448396447927,0.5392626683023769,0.5103629732311645,0.5105358782336742,0.6439359290848671,0.6430151888070655,0.024756792511067275,0.48963702676883547,0.9999864670757959,,50
50,0.5438443473090238,0.5373123294411857,0.5460297632280291,0.5440094758617589,0.5075305450354357,0.5066036322546459,0.6603570049559226,0.6599408812844118,0.02255172943127024,0.4924694549645643,0.999999199884338,,50
51,0.5409928966325597,0.5352516686103418,0.5530138428621376,0.5408192978145896,0.5159473675627665,0.5158174452043112,0.6572949937219552,0.656579014372896,0.0226284819482685,0.48405263243723357,0.9999954784227816,,50
