scenario,city,final_USI,min_USI,final_Gini,final_Trust,recovery_months
exp1_baseline,Bengaluru,0.7458,0.7458,0.0052,0.4186,24
exp1_baseline,Mysuru,0.9668,0.8915,0.0087,0.9987,24
exp1_baseline,Mangaluru,0.9901,0.9246,0.0092,0.9995,24
exp1_baseline,Hubballi-Dharwad,0.9904,0.8922,0.0087,0.9995,24
exp1_baseline,Belagavi,0.9904,0.9275,0.0087,0.9995,24
exp2_flood,Bengaluru,0.6378,0.6378,0.0062,0.0025,17
exp2_flood,Mysuru,0.9668,0.8915,0.0087,0.9987,24
exp2_flood,Mangaluru,0.967,0.9155,0.0092,0.9073,24
exp2_flood,Hubballi-Dharwad,0.9903,0.8922,0.0087,0.9993,24
exp2_flood,Belagavi,0.9904,0.9275,0.0087,0.9995,24
exp3_drought,Bengaluru,0.6371,0.6323,0.0064,0.0,14
exp3_drought,Mysuru,0.9668,0.8656,0.0087,0.9987,24
exp3_drought,Mangaluru,0.9901,0.9246,0.0092,0.9995,24
exp3_drought,Hubballi-Dharwad,0.9903,0.8354,0.0087,0.9991,24
exp3_drought,Belagavi,0.9904,0.9272,0.0087,0.9995,24
exp4_economic,Bengaluru,0.6371,0.6184,0.0064,0.0,10
exp4_economic,Mysuru,0.9668,0.8576,0.0087,0.9985,24
exp4_economic,Mangaluru,0.9807,0.9117,0.0092,0.962,24
exp4_economic,Hubballi-Dharwad,0.9904,0.8656,0.0087,0.9995,24
exp4_economic,Belagavi,0.9904,0.9275,0.0087,0.9995,24
exp5a_shock_nopolicy,Bengaluru,0.6381,0.616,0.0039,0.0,3
exp5a_shock_nopolicy,Mysuru,0.7408,0.731,0.0105,0.1179,24
exp5a_shock_nopolicy,Mangaluru,0.7739,0.7625,0.0104,0.1573,24
exp5a_shock_nopolicy,Hubballi-Dharwad,0.749,0.6746,0.0098,0.0628,22
exp5a_shock_nopolicy,Belagavi,0.8358,0.827,0.0107,0.3893,24
exp5b_shock_policy,Bengaluru,0.6371,0.6152,0.0064,0.0,3
exp5b_shock_policy,Mysuru,0.9379,0.8366,0.0087,0.8828,24
exp5b_shock_policy,Mangaluru,0.9192,0.8704,0.0094,0.7166,24
exp5b_shock_policy,Hubballi-Dharwad,0.9152,0.809,0.0089,0.6995,24
exp5b_shock_policy,Belagavi,0.9869,0.9138,0.0087,0.9857,24
exp6_combined,Bengaluru,0.6371,0.6152,0.0064,0.0,3
exp6_combined,Mysuru,0.9379,0.8366,0.0087,0.8828,24
exp6_combined,Mangaluru,0.9192,0.8704,0.0094,0.7166,24
exp6_combined,Hubballi-Dharwad,0.9152,0.809,0.0089,0.6995,24
exp6_combined,Belagavi,0.9869,0.9138,0.0087,0.9857,24
